Employee_ID,First_Name,Last_Name,Gender,Salary,Job_Title,Country,Birth_Date,Hire_Date
120102,Tom,Zhou,M,108255,Sales Manager,AU,1973/08/11,1993/06/01
120103,Wilson,Dawes,M,87975,Sales Manager,AU,1953/01/22,1978/01/01
120121,Irenie,Elvish,F,26600,Sales Rep. II,AU,1948/08/02,1978/01/01
120122,Christina,Ngan,F,27475,Sales Rep. II,AU,1958/07/27,1982/07/01
120123,Kimiko,Hotstone,F,26190,Sales Rep. I,AU,1968/09/28,1989/10/01
120124,Lucian,Daymond,M,26480,Sales Rep. I,AU,1963/05/13,1983/03/01
120125,Fong,Hofmeister,M,32040,Sales Rep. IV,AU,1958/12/06,1983/03/01
120126,Satyakam,Denny,M,26780,Sales Rep. II,AU,1992/09/20,2010/08/01
120127,Sharryn,Clarkson,F,28100,Sales Rep. II,AU,1983/01/04,2002/11/01
120128,Monica,Kletschkus,F,30890,Sales Rep. IV,AU,1990/07/14,2010/11/01
120129,Alvin,Roebuck,M,30070,Sales Rep. III,AU,1968/11/22,1989/10/01
120130,Kevin,Lyon,M,26955,Sales Rep. I,AU,1988/12/14,2010/05/01
120131,Marinus,Surawski,M,26910,Sales Rep. I,AU,1983/09/25,2007/01/01
120132,Fancine,Kaiser,F,28525,Sales Rep. III,AU,1953/04/05,1982/10/01
120133,Petrea,Soltau,F,27440,Sales Rep. II,AU,1990/04/22,2010/10/01
120134,Sian,Shannan,M,28015,Sales Rep. II,AU,1953/06/06,1978/01/01
120135,Alexei,Platts,M,32490,Sales Rep. IV,AU,1973/01/26,2001/10/01
120136,Atul,Leyden,M,26605,Sales Rep. I,AU,1983/09/16,2007/02/01
120137,Marina,Iyengar,F,29715,Sales Rep. III,AU,1983/03/12,2010/03/01
120138,Shani,Duckett,F,25795,Sales Rep. I,AU,1983/07/11,2010/07/01
120139,Fang,Wilson,F,26810,Sales Rep. II,AU,1990/08/18,2010/09/01
120140,Michael,Minas,M,26970,Sales Rep. I,AU,1992/08/03,2010/10/01
120141,Amanda,Liebman,F,27465,Sales Rep. II,AU,1992/03/12,2010/05/01
120142,Vincent,Eastley,M,29695,Sales Rep. III,AU,1990/06/14,2010/07/01
120143,Phu,Sloey,M,26790,Sales Rep. II,AU,1963/05/17,1986/10/01
120144,Viney,Barbis,M,30265,Sales Rep. III,AU,1990/03/07,2010/10/01
120145,Sandy,Aisbitt,M,26060,Sales Rep. II,AU,1968/01/22,1989/06/01
120146,Wendall,Cederlund,M,25985,Sales Rep. I,AU,1963/10/02,1984/08/01
120147,Skev,Rusli,F,26580,Sales Rep. II,AU,1992/01/19,2010/10/01
120148,Michael,Zubak,M,28480,Sales Rep. III,AU,1953/09/13,1982/06/01
120149,Judy,Chantharasy,F,26390,Sales Rep. I,AU,1978/11/21,1997/01/01
120150,John,Filo,M,29965,Sales Rep. III,AU,1958/07/09,1986/08/01
120151,Julianna,Phaiyakounh,F,26520,Sales Rep. II,AU,1948/11/21,1978/01/01
120152,Sean,Dives,M,26515,Sales Rep. I,AU,1983/05/01,2009/04/01
120153,Samantha,Waal,F,27260,Sales Rep. I,AU,1983/05/07,2002/01/01
120154,Caterina,Hayawardhana,F,30490,Sales Rep. III,AU,1948/07/20,1978/01/01
120155,Narelle,James,F,29990,Sales Rep. III,AU,1988/04/22,2010/04/01
120156,Gerry,Snellings,F,26445,Sales Rep. I,AU,1992/09/01,2010/03/01
120157,Leonid,Karavdic,M,27860,Sales Rep. II,AU,1990/02/21,2010/12/01
